slip,seed,task_id,task_type,method,success,steps,replans,why,shortest_in_model,learned_states
0.2,2404,17,condition_then,linear_empirical,True,7,1,success,7,264
0.2,2404,17,condition_then,shortest,True,7,1,success,7,264
0.2,2404,17,condition_then,expected,True,7,1,success,7,264
0.2,2404,18,sequence,linear,True,36,1,success,23,264
0.2,2404,18,sequence,linear_empirical,True,36,1,success,23,264
0.2,2404,18,sequence,shortest,True,35,1,success,23,264
0.2,2404,18,sequence,expected,True,35,1,success,23,264
0.2,2404,19,all_of,linear,True,24,1,success,21,264
0.2,2404,19,all_of,linear_empirical,True,24,1,success,21,264
0.2,2404,19,all_of,shortest,True,24,1,success,21,264
0.2,2404,19,all_of,expected,True,24,1,success,21,264
0.2,2404,20,condition_then,linear,True,21,1,success,16,264
0.2,2404,20,condition_then,linear_empirical,True,21,1,success,16,264
0.2,2404,20,condition_then,shortest,True,22,1,success,16,264
0.2,2404,20,condition_then,expected,True,22,1,success,16,264
0.2,2404,21,sequence,linear,True,28,1,success,24,264
0.2,2404,21,sequence,linear_empirical,True,28,1,success,24,264
0.2,2404,21,sequence,shortest,True,28,1,success,24,264
0.2,2404,21,sequence,expected,True,28,1,success,24,264
